,seller_id,seller_autonomous_community,seller_city
0,3442f8959a84dea7ee197c632cb2df15,andalucia,malaga
1,d1b65fc7debc3361ea86b5f14c68d2e2,andalucia,jaen
2,ce3ad9de960102d0677a81f5d0bb7b2d,cataluna,barcelona
3,c0f3eea2e14555b6faeea3dd58c1b1c3,comunidad de madrid,madrid
4,51a04a8a6bdcb23deccc82b0b80742cf,andalucia,jaen
5,c240c4061717ac1806ae6ee72be3533b,cataluna,barcelona
6,e49c26c3edfa46d227d5121a6b6e4d37,islas canarias,puerto del rosario - fuerteventura
7,1b938a7ec6ac5061a66a3766e0e75f90,andalucia,jaen
8,768a86e36ad6aae3d03ee3c6433d61df,comunidad de madrid,madrid
9,ccc4bbb5f32a6ab2b7066a4130f114e3,galicia,coruna
10,8cb7c5ddf41f4d506eba76e9a4702a25,aragon,huesca
11,a7a9b880c49781da66651ccf4ba9ac38,andalucia,granada
12,8bd0f31cf0a614c658f6763bd02dea69,comunidad de madrid,madrid
13,05a48cc8859962767935ab9087417fbb,comunidad de madrid,madrid
14,7b8e8ec35bad4b0ef7e3963650b0a87b,castilla y leon,zamora
15,1444c08e64d55fb3c25f0f09c07ffcf2,pais vasco,san sebastian
16,166e8f1381e09651983c38b1f6f91c11,castilla y leon,leon
17,e38db885400cd35c71dfd162f2c1dbcf,region de murcia,murcia
18,d2e753bb80b7d4faa77483ed00edc8ca,pais vasco,san sebastian
19,f9ec7093df3a7b346b7bcf7864069ca3,comunidad de madrid,madrid
20,4e6015589b781adaa5ce7f1892d06bb1,andalucia,cordoba
21,4cf490a58259286ada5ba8525ba9e84a,andalucia,huelva
22,f7496d659ca9fdaf323c0aae84176632,comunidad de madrid,madrid
23,2ff97219cb8622eaf3cd89b7d9c09824,andalucia,huelva
24,8bd0e3abda539b9479c4b44a691be1ec,comunidad valenciana,castellon
25,2a1348e9addc1af5aaa619b1a3679d6b,comunidad de madrid,madrid
26,2078fe5066350e7d220c0ad3a3bbc6c1,galicia,pontevedra
27,116ccb1a1604bc88e4d234a8c23f33de,andalucia,granada
28,430315b7bb4b6e4b3c978f9dfa9b0558,comunidad de madrid,madrid
29,406822777a0b9eb5c50e442dd4cd3ec5,andalucia,jaen
